Dataset,Variant,Accuracy,Precision,Recall,F1,AUROC,AUPR
SNAP,CNN-only encoder,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0
SNAP,Mamba-only encoder,-0.006000000000000005,-0.016000000000000014,0.009000000000000008,-0.0040000000000000036,0.0,0.0020000000000000018
SNAP,w/o adaptive gate,-0.0050000000000000044,-0.0040000000000000036,-0.006000000000000005,-0.0050000000000000044,-0.0020000000000000018,-0.0010000000000000009
SNAP,BAN replaced by cross-attention,-0.018000000000000016,-0.0030000000000000027,-0.040000000000000036,-0.02100000000000002,-0.018999999999999906,-0.018999999999999906
SNAP,BAN replaced by concat-MLP,-0.0040000000000000036,0.010000000000000009,-0.02300000000000002,-0.006000000000000005,-0.005999999999999894,-0.006999999999999895
DRH,CNN-only encoder,0.0020000000000000018,-0.0030000000000000027,0.01200000000000001,0.0030000000000000027,0.0,-0.0040000000000000036
DRH,Mamba-only encoder,0.0,-0.0050000000000000044,0.009000000000000008,0.0010000000000000009,0.0,0.0
DRH,w/o adaptive gate,0.0040000000000000036,0.0020000000000000018,0.007000000000000006,0.0040000000000000036,0.0010000000000000009,0.0
DRH,BAN replaced by cross-attention,-0.009000000000000008,0.010000000000000009,-0.039000000000000035,-0.014000000000000012,-0.017000000000000015,-0.02100000000000002
DRH,BAN replaced by concat-MLP,0.007000000000000006,0.025000000000000022,-0.020000000000000018,0.0020000000000000018,-0.0050000000000000044,-0.007000000000000006
TTD,CNN-only encoder,-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018,-0.0010000000000000009,-0.0010000000000000009
TTD,Mamba-only encoder,-0.0010000000000000009,0.0030000000000000027,-0.006000000000000005,-0.0010000000000000009,0.0,0.0
TTD,w/o adaptive gate,0.0,0.0050000000000000044,-0.008000000000000007,-0.0010000000000000009,-0.0020000000000000018,-0.0030000000000000027
TTD,BAN replaced by cross-attention,-0.01100000000000001,0.009000000000000008,-0.038000000000000034,-0.014000000000000012,-0.0119999999999999,-0.013999999999999901
TTD,BAN replaced by concat-MLP,0.0020000000000000018,0.028000000000000025,-0.03400000000000003,-0.0020000000000000018,-0.0040000000000000036,-0.0040000000000000036
