Dataset,Variant,Accuracy,Precision,Recall,F1,AUROC,AUPR
SNAP,BioCMB-DTI,0.873,0.859,0.893,0.875,0.941,0.94
SNAP,CNN-only encoder,0.872,0.858,0.892,0.874,0.94,0.94
SNAP,Mamba-only encoder,0.867,0.843,0.902,0.871,0.941,0.942
SNAP,w/o adaptive gate,0.868,0.855,0.887,0.87,0.939,0.939
SNAP,BAN replaced by cross-attention,0.855,0.856,0.853,0.854,0.922,0.921
SNAP,BAN replaced by concat-MLP,0.869,0.869,0.87,0.869,0.935,0.933
DRH,BioCMB-DTI,0.837,0.822,0.86,0.841,0.915,0.916
DRH,CNN-only encoder,0.839,0.819,0.872,0.844,0.915,0.912
DRH,Mamba-only encoder,0.837,0.817,0.869,0.842,0.915,0.916
DRH,w/o adaptive gate,0.841,0.824,0.867,0.845,0.916,0.916
DRH,BAN replaced by cross-attention,0.828,0.832,0.821,0.827,0.898,0.895
DRH,BAN replaced by concat-MLP,0.844,0.847,0.84,0.843,0.91,0.909
TTD,BioCMB-DTI,0.884,0.863,0.913,0.887,0.948,0.948
TTD,CNN-only encoder,0.882,0.861,0.911,0.885,0.947,0.947
TTD,Mamba-only encoder,0.883,0.866,0.907,0.886,0.948,0.948
TTD,w/o adaptive gate,0.884,0.868,0.905,0.886,0.946,0.945
TTD,BAN replaced by cross-attention,0.873,0.872,0.875,0.873,0.936,0.934
TTD,BAN replaced by concat-MLP,0.886,0.891,0.879,0.885,0.944,0.944
