InChIKey,pubchem_cid,pert_iname,smiles
VMWNQDUVQKEIOC-CYBMUJFWSA-N,6005.0,(R)-(-)-apomorphine,CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31
HJORMJIFDVBMOB-LBPRGKRZSA-N,448055.0,(R)-(-)-rolipram,COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1
KPYSYYIEGFHWSV-QMMMGPOBSA-N,6918881.0,(R)-baclofen,NC[C@H](CC(O)=O)c1ccc(Cl)cc1
HJORMJIFDVBMOB-GFCCVEGCSA-N,158758.0,(S)-(+)-rolipram,COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1
OUPXSLGGCPUZJJ-SARDKLJWSA-N,163829.0,"[sar9,met(o2)11]-substance-p",CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O
LDLCEGCJYSDJLX-UPHRSURJSA-N,5846454.0,"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2
JQWJJJYHVHNXJH-LJQANCHMSA-N,44574903.0,"1-(1,2-diphenylethyl)piperidine-(+/-)",C([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1
NJEIOWSBPCZKTL-LLVKDONJSA-N,39359445.0,1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,CC(C)NC[C@@H](O)COc1cc(C)ccc1Cl
YSDBJKNOEWSFGA-UHFFFAOYSA-N,550758.0,1-acetyl-4-methylpiperazine,CN1CCN(CC1)C(C)=O
NTSBZVCEIVPKBJ-UHFFFAOYSA-N,6538897.0,1-azakenpaullone,Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1
LXBIFEVIBLOUGU-KVTDHHQDSA-N,72258.0,1-deoxymannojirimycin,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O
CXUCKELNYMZTRT-UHFFFAOYSA-N,82320.0,1-EBIO,CCn1c2ccccc2[nH]c1=O
ZFPGARUNNKGOBB-UHFFFAOYSA-N,17595.0,1-ethyl-2-pyrrolidone,CCN1CCCC1=O
NIOYUNMRJMEDGI-UHFFFAOYSA-N,984.0,1-hexadecanal,CCCCCCCCCCCCCCCC=O
BXWNKGSJHAJOGX-UHFFFAOYSA-N,2682.0,1-hexadecanol,CCCCCCCCCCCCCCCCO
XSHQBIXMLULFEV-UHFFFAOYSA-N,4877.0,1-naphthyl-PP1,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12
CNNRPFQICPFDPO-UHFFFAOYSA-N,68406.0,1-octacosanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
KBPLFHHGFOOTCA-UHFFFAOYSA-N,957.0,1-octanol,CCCCCCCCO
CUQCMXFWIMOWRP-UHFFFAOYSA-N,4780.0,1-phenylbiguanide,NC(N)=NC(=N)Nc1ccccc1
