"id","UniProt","Symbol","Name","Target Development Level","IDG Family","Novelty"
1,"P32929","CTH","Cystathionine gamma-lyase","Tchem","Enzyme",0.0017155
2,"A4D0Y5","C7orf77","Uncharacterized protein C7orf77","Tdark","Other",
3,"Q49A92","C8orf34","Uncharacterized protein C8orf34","Tbio","Other",0.25922336
4,"Q9UFW8","CGGBP1","CGG triplet repeat-binding protein 1","Tbio","Other",0.10880271
5,"Q96K31","C8orf76","Uncharacterized protein C8orf76","Tdark","Other",1.38782332
6,"O14646","CHD1","Chromodomain-helicase-DNA-binding protein 1","Tbio","Epigenetic",0.00498132
7,"Q8IWX8","CHERP","Calcium homeostasis endoplasmic reticulum protein","Tbio","Other",0.06955626
8,"Q99653","CHP1","Calcineurin B homologous protein 1","Tbio","Other",0.01299969
9,"O94983","CAMTA2","Calmodulin-binding transcription activator 2","Tbio","Transcription Factor",0.06741618
10,"Q8NA66","CNBD1","Cyclic nucleotide-binding domain-containing protein 1","Tdark","Other",1.13449711
11,"Q96M20","CNBD2","Cyclic nucleotide-binding domain-containing protein 2","Tdark","Other",1.97362246
12,"Q86VU5","COMTD1","Catechol O-methyltransferase domain-containing protein 1","Tdark","Enzyme",0.245971
13,"P42695","NCAPD3","Condensin-2 complex subunit D3","Tbio","Other",0.02819003
14,"Q8IYT2","CMTR2","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2","Tbio","Enzyme",0.11208282
15,"Q9NSA3","CTNNBIP1","Beta-catenin-interacting protein 1","Tbio","Other",0.05434645
16,"Q96KP4","CNDP2","Cytosolic non-specific dipeptidase","Tbio","Enzyme",0.00157228
17,"Q13956","PDE6H","Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma","Tclin","Enzyme",0.0524804
18,"O95476","CTDNEP1","CTD nuclear envelope phosphatase 1","Tbio","Enzyme",0.09348082
19,"Q9BYD5","CNFN","Cornifelin","Tdark","Other",0.15365561
20,"Q969H4","CNKSR1","Connector enhancer of kinase suppressor of ras 1","Tchem","Enzyme",0.06710697
21,"Q6P9H4","CNKSR3","Connector enhancer of kinase suppressor of ras 3","Tbio","Enzyme",0.14999986
22,"O95406","CNIH1","Protein cornichon homolog 1","Tbio","Other",0.0932447
23,"Q3B7I2","CNPY1","Protein canopy homolog 1","Tdark","Other",0.40439883
24,"P18545","PDE6G","Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma","Tclin","Enzyme",0.03113994
25,"Q9P232","CNTN3","Contactin-3","Tbio","Other",0.0055725
26,"Q6PJW8","CNST","Consortin","Tdark","Other",0.10372637
27,"P26992","CNTFR","Ciliary neurotrophic factor receptor subunit alpha","Tbio","Other",0.0188716
28,"Q9NXG0","CNTLN","Centlein","Tbio","Other",0.0044959
29,"Q8N8G6","C15orf54","Putative uncharacterized protein C15orf54","Tdark","Other",42
30,"Q8N910","C15orf56","Putative uncharacterized protein C15orf56","Tdark","Other",
31,"H3BRN8","C15orf65","Uncharacterized protein C15orf65","Tdark","Other",11.27559624
32,"Q01955","COL4A3","Collagen alpha-3(IV) chain","Tbio","Other",0.00296126
33,"P06681","C2","Complement C2","Tchem","Other",0.00974862
34,"P27658","COL8A1","Collagen alpha-1(VIII) chain","Tbio","Other",0.02203574
35,"P02461","COL3A1","Collagen alpha-1(III) chain","Tbio","Other",0.00197327
36,"P0C0L5","C4B","Complement C4-B","Tbio","Other",0.00068357
37,"P20908","COL5A1","Collagen alpha-1(V) chain","Tbio","Other",0.00506815
38,"P25940","COL5A3","Collagen alpha-3(V) chain","Tbio","Other",0.06365591
39,"Q9H4G8","DPH3P1","Putative DPH3 homolog B","Tdark","Other",
40,"P02748","C9","Complement component C9","Tchem","Other",0.00749298
41,"Q9GZY4","COA1","Cytochrome c oxidase assembly factor 1 homolog","Tbio","Enzyme",0.49194068
42,"P10643","C7","Complement component C7","Tbio","Other",0.01540501
43,"Q7L8W6","DPH6","Diphthine--ammonia ligase","Tbio","Enzyme",0.15211179
44,"Q9BTV6","DPH7","Diphthine methyltransferase","Tbio","Enzyme",0.05925085
45,"Q13057","COASY","Bifunctional coenzyme A synthase","Tbio","Enzyme",0.00294867
46,"P00414","MT-CO3","Cytochrome c oxidase subunit 3","Tbio","Enzyme",0.00253369
47,"Q9NRP2","CMC2","COX assembly mitochondrial protein 2 homolog","Tbio","Other",0.01044828
48,"O60397","COX7A2P2","Putative cytochrome c oxidase subunit 7A3, mitochondrial","Tdark","Enzyme",
49,"Q6UWD8","C16orf54","Transmembrane protein C16orf54","Tdark","Other",3.18165606
50,"Q6ZW13","C16orf86","Uncharacterized protein C16orf86","Tdark","Other",
51,"O43174","CYP26A1","Cytochrome P450 26A1","Tchem","Enzyme",0.00281805
52,"P22680","CYP7A1","Cholesterol 7-alpha-monooxygenase","Tchem","Enzyme",0.00148194
53,"P05177","CYP1A2","Cytochrome P450 1A2","Tchem","Other",0.00034756
54,"O43809","NUDT21","Cleavage and polyadenylation specificity factor subunit 5","Tbio","Other",0.02174736
55,"Q02318","CYP27A1","Sterol 26-hydroxylase, mitochondrial","Tchem","Enzyme",0.00071796
56,"Q16678","CYP1B1","Cytochrome P450 1B1","Tchem","Other",0.00090917
57,"Q6UW02","CYP20A1","Cytochrome P450 20A1","Tbio","Other",0.11080329
58,"P10635","CYP2D6","Cytochrome P450 2D6","Tclin","Enzyme",0.00021853
59,"P05813","CRYBA1","Beta-crystallin A3","Tbio","Other",0.02788955
60,"Q9NQ79","CRTAC1","Cartilage acidic protein 1","Tbio","Other",0.09442374
61,"P43320","CRYBB2","Beta-crystallin B2","Tbio","Other",0.00721869
62,"Q96RY5","CRAMP1","Protein cramped-like","Tdark","Other",0.26519971
63,"O94985","CLSTN1","Calsyntenin-1","Tbio","Other",0.04056624
64,"Q9GZN8","C20orf27","UPF0687 protein C20orf27","Tdark","Other",3.40666399
65,"Q8N8Q3","ENDOV","Endonuclease V","Tbio","Enzyme",0.00459706
66,"Q9H4G1","CST9L","Cystatin-9-like","Tdark","Other",0.21941207
67,"Q5W188","CST9LP1","Putative cystatin-9-like protein CST9LP1","Tdark","Other",
68,"Q5W186","CST9","Cystatin-9","Tbio","Other",0.08129086
69,"Q9HC47","CTAGE1","Cutaneous T-cell lymphoma-associated antigen 1","Tbio","Other",0.14119958
70,"Q96RT6","CTAGE1","cTAGE family member 2","Tbio","Other",0.14119958
71,"Q8IX95","CTAGE3P","Putative cTAGE family member 3","Tdark","Other",
72,"Q53GD3","SLC44A4","Choline transporter-like protein 4","Tbio","Transporter",0.01998777
73,"O43310","CTIF","CBP80/20-dependent translation initiation factor","Tbio","Other",0.0764323
74,"Q8NCS7","SLC44A5","Choline transporter-like protein 5","Tdark","Transporter",0.15262166
75,"Q8WVB6","CHTF18","Chromosome transmission fidelity protein 18 homolog","Tbio","Other",0.02470494
76,"P26232","CTNNA2","Catenin alpha-2","Tbio","Other",0.00783865
77,"A4FU28","CTAGE9","cTAGE family member 9","Tdark","Other",
78,"P29279","CTGF","Connective tissue growth factor","Tbio","Other",0.0004346
79,"P52569","SLC7A2","Cationic amino acid transporter 2","Tbio","Transporter",0.02262224
80,"Q8WZ74","CTTNBP2","Cortactin-binding protein 2","Tbio","Other",0.00241
81,"Q7RTX7","CATSPER4","Cation channel sperm-associated protein 4","Tchem","Ion Channel",0.4554917
82,"Q9N2K0",,"HERV-H_2q24.3 provirus ancestral Env polyprotein","Tdark","Other",
83,"O42043","ERVK-18","Endogenous retrovirus group K member 18 Env polyprotein","Tdark","Other",
84,"Q6ZRH7","CATSPERG","Cation channel sperm-associated protein subunit gamma","Tdark","Other",0.73161601
85,"Q9NTU4","CATSPERZ","Cation channel sperm-associated protein subunit zeta","Tdark","Other",0.61619097
86,"Q69384","ERVK-6","Endogenous retrovirus group K member 6 Env polyprotein","Tdark","Other",
87,"P61567","ERVK-7","Endogenous retrovirus group K member 7 Env polyprotein","Tdark","Other",
88,"Q902F8","ERVK-8","Endogenous retrovirus group K member 8 Env polyprotein","Tdark","Other",
89,"Q9H0I2","ENKD1","Enkurin domain-containing protein 1","Tdark","Other",21.40077406
90,"P58513","LINC00158","Putative uncharacterized protein encoded by LINC00158","Tdark","Other",
91,"P58512","LINC01547","Uncharacterized protein encoded by LINC01547","Tdark","Other",
92,"Q8TCZ7","LINC00308","Putative uncharacterized protein encoded by LINC00308","Tdark","Other",
93,"P59091","LINC00315","Putative uncharacterized protein encoded by LINC00315","Tdark","Other",
94,"O60494","CUBN","Cubilin","Tbio","Other",0.00441944
95,"A0A1B0GTU2","CTXND1","Cortexin domain-containing 1","Tdark","Other",
96,"A0A1B0GV90","CTXND2","Cortexin domain containing 2","Tdark","Other",
97,"O60888","CUTA","Protein CutA","Tbio","Other",0.01771609
98,"P06733","ENO1","Alpha-enolase","Tchem","Enzyme",0.00109178
99,"P39880","CUX1","Homeobox protein cut-like 1","Tbio","Other",0.00415896
100,"Q6ZV56","C22orf34","Putative uncharacterized protein C22orf34","Tdark","Other",
101,"P13929","ENO3","Beta-enolase","Tbio","Enzyme",0.00322051
102,"P09104","ENO2","Gamma-enolase","Tbio","Enzyme",0.00016748
103,"Q02221","COX6A2","Cytochrome c oxidase subunit 6A2, mitochondrial","Tbio","Enzyme",0.05368739
104,"P14854","COX6B1","Cytochrome c oxidase subunit 6B1","Tbio","Enzyme",0.02531055
105,"Q969M2","GJA10","Gap junction alpha-10 protein","Tdark","Other",0.25021596
106,"P48165","GJA8","Gap junction alpha-8 protein","Tbio","Other",0.00377739
107,"P35212","GJA4","Gap junction alpha-4 protein","Tbio","Other",0.0045659
108,"O95452","GJB6","Gap junction beta-6 protein","Tbio","Other",0.00119317
109,"P19876","CXCL3","C-X-C motif chemokine 3","Tbio","Other",0.01001656
110,"P08034","GJB1","Gap junction beta-1 protein","Tbio","Other",0.00109019
111,"P80162","CXCL6","C-X-C motif chemokine 6","Tbio","Other",0.01019922
112,"P02775","PPBP","Platelet basic protein","Tbio","Other",0.00048307
113,"O75712","GJB3","Gap junction beta-3 protein","Tbio","Other",0.00612314
114,"Q96KN9","GJD4","Gap junction delta-4 protein","Tdark","Other",0.40281374
115,"P25025","CXCR2","C-X-C chemokine receptor type 2","Tchem","GPCR",0.00108314
116,"A6NN92","GJE1","Putative gap junction epsilon-1 protein","Tdark","Other",0.03519662
117,"P61073","CXCR4","C-X-C chemokine receptor type 4","Tclin","GPCR",0.0002811
118,"P00167","CYB5A","Cytochrome b5","Tbio","Other",0.00047376
119,"Q9BQA9","CYBC1","Cytochrome b-245 chaperone 1","Tbio","Other",0.72567331
120,"Q9HB71","CACYBP","Calcyclin-binding protein","Tbio","Other",0.02207811
121,"P00156","MT-CYB","Cytochrome b","Tbio","Other",0.00012093
122,"P00403","MT-CO2","Cytochrome c oxidase subunit 2","Tchem","Enzyme",0.00073921
123,"Q7Z7K0","CMC1","COX assembly mitochondrial protein homolog","Tdark","Other",5.14727585
124,"O14548","COX7A2L","Cytochrome c oxidase subunit 7A-related protein, mitochondrial","Tbio","Enzyme",0.06920916
125,"P10632","CYP2C8","Cytochrome P450 2C8","Tchem","Other",0.00186373
126,"P51589","CYP2J2","Cytochrome P450 2J2","Tchem","Other",0.00534181
127,"Q86X59","C17orf82","Putative uncharacterized protein C17orf82","Tdark","Other",20
128,"A8MU93","C17orf100","Uncharacterized protein C17orf100","Tdark","Other",
129,"Q96SQ9","CYP2S1","Cytochrome P450 2S1","Tbio","Other",0.02967417
130,"O75718","CRTAP","Cartilage-associated protein","Tbio","Other",0.02380647
131,"O75462","CRLF1","Cytokine receptor-like factor 1","Tbio","Other",0.02127014
132,"Q9HC73","CRLF2","Cytokine receptor-like factor 2","Tbio","Other",0.00862501
133,"P02489","CRYAA","Alpha-crystallin A chain","Tchem","Other",0.01914081
134,"Q9Y2W7","KCNIP3","Calsenilin","Tbio","Ion Channel",0.01371555
135,"P0DML2","CSH1","Chorionic somatomammotropin hormone 1","Tbio","Other",0.00100314
136,"Q9BV81","EMC6","ER membrane protein complex subunit 6","Tbio","Other",0.18299013
137,"Q9Y3B6","EMC9","ER membrane protein complex subunit 9","Tdark","Other",0.52441743
138,"P50402","EMD","Emerin","Tbio","Other",0.00135202
139,"P15509","CSF2RA","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","Tclin","Other",0.00125121
140,"Q99062","CSF3R","Granulocyte colony-stimulating factor receptor","Tclin","Other",0.00416485
141,"Q96A84","EMID1","EMI domain-containing protein 1","Tbio","Other",0.14161673
142,"Q8WXE0","CASKIN2","Caskin-2","Tdark","Other",0.43801968
143,"Q7L5N1","COPS6","COP9 signalosome complex subunit 6","Tbio","Other",0.02653008
144,"Q9UBW8","COPS7A","COP9 signalosome complex subunit 7a","Tbio","Other",0.02159233
145,"Q99708","RBBP8","DNA endonuclease RBBP8","Tbio","Enzyme",0.0044233
146,"P35221","CTNNA1","Catenin alpha-1","Tbio","Other",0.00925774
147,"Q8WWI5","SLC44A1","Choline transporter-like protein 1","Tbio","Transporter",0.01499456
148,"A4D2H0","CTAGE15","cTAGE family member 15","Tdark","Other",
149,"Q13618","CUL3","Cullin-3","Tbio","Other",0.0028737
150,"Q13619","CUL4A","Cullin-4A","Tchem","Other",0.00917788
151,"Q9NTM9","CUTC","Copper homeostasis protein cutC homolog","Tbio","Other",0.02320487
152,"O14529","CUX2","Homeobox protein cut-like 2","Tbio","Transcription Factor",0.02004476
153,"P19875","CXCL2","C-X-C motif chemokine 2","Tbio","Other",0.00201175
154,"P42830","CXCL5","C-X-C motif chemokine 5","Tbio","Other",0.00286795
155,"P32302","CXCR5","C-X-C chemokine receptor type 5","Tchem","GPCR",0.00214886
156,"Q9NTQ9","GJB4","Gap junction beta-4 protein","Tbio","Other",0.02165123
157,"O43927","CXCL13","C-X-C motif chemokine 13","Tbio","Other",0.00118688
158,"O95715","CXCL14","C-X-C motif chemokine 14","Tbio","Other",0.00606628
159,"Q6UXB2","CXCL17","C-X-C motif chemokine 17","Tbio","Other",0.0333432
160,"O15255","RTL8C","CAAX box protein 1","Tdark","Other",0.20316911
161,"P49447","CYB561","Cytochrome b561","Tbio","Other",0.15317924
162,"P04839","CYBB","Cytochrome b-245 heavy chain","Tchem","Ion Channel",0.00054866
163,"Q53TN4","CYBRD1","Cytochrome b reductase 1","Tbio","Enzyme",0.01128708
